time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
80990,98.0,202.0,0.62,0.79,50.0,0.79,28,85,56,0
81000,98.0,202.0,0.62,0.79,50.0,0.79,28,85,57,0
81010,98.0,202.0,0.62,0.79,50.0,0.79,32,85,57,0
81020,98.0,202.0,0.62,0.79,50.0,0.79,29,85,57,0
81030,98.0,202.0,0.62,0.79,50.0,0.79,32,85,57,0
81040,98.0,202.0,0.62,0.79,50.0,0.79,33,85,57,0
81050,98.0,202.0,0.62,0.79,50.0,0.79,35,85,57,0
81060,98.0,202.0,0.62,0.79,50.0,0.79,35,86,58,0
81070,98.0,202.0,0.62,0.79,50.0,0.79,32,86,58,0
81080,98.0,202.0,0.62,0.79,50.0,0.79,29,86,58,0
81090,98.0,202.0,0.62,0.79,50.0,0.79,30,86,58,0
81100,98.0,202.0,0.62,0.79,50.0,0.79,32,86,58,0
81110,98.0,202.0,0.62,0.79,50.0,0.79,33,87,58,0
81120,98.0,202.0,0.62,0.79,50.0,0.79,31,86,56,0
81130,98.0,202.0,0.62,0.79,50.0,0.79,31,85,56,0
81140,98.0,202.0,0.62,0.79,50.0,0.79,26,85,56,0
81150,98.0,202.0,0.62,0.79,50.0,0.79,26,85,56,0
81160,98.0,202.0,0.62,0.79,50.0,0.79,24,85,56,0
81170,98.0,202.0,0.62,0.79,50.0,0.79,24,84,56,0
81180,98.0,202.0,0.62,0.79,50.0,0.79,24,84,59,0
81190,98.0,202.0,0.62,0.79,50.0,0.79,29,85,59,0
81920,99.0,205.0,0.55,0.74,50.0,0.79,31,85,52,0
81930,99.0,205.0,0.55,0.74,50.0,0.79,33,84,52,0
81940,99.0,205.0,0.55,0.74,50.0,0.79,31,84,52,0
81950,99.0,205.0,0.55,0.74,50.0,0.79,30,84,52,0
81960,99.0,205.0,0.55,0.74,50.0,0.79,28,84,53,0
81970,99.0,205.0,0.55,0.74,50.0,0.79,28,84,53,0
81980,99.0,205.0,0.55,0.74,50.0,0.79,26,84,53,0
81990,99.0,205.0,0.55,0.74,50.0,0.79,23,85,53,0
82000,99.0,205.0,0.55,0.74,50.0,0.79,27,84,53,0
82010,99.0,205.0,0.55,0.74,50.0,0.79,24,84,53,0
82020,99.0,205.0,0.55,0.74,50.0,0.79,24,84,60,0
82030,99.0,205.0,0.55,0.74,50.0,0.79,25,84,60,0
82040,99.0,205.0,0.55,0.74,50.0,0.79,25,84,60,0
82050,113.0,160.0,0.11,0.17,100.0,0.16,26,84,60,0
82060,113.0,160.0,0.11,0.17,100.0,0.16,37,85,60,0
82070,113.0,160.0,0.11,0.17,100.0,0.16,25,85,60,0
82080,113.0,160.0,0.11,0.17,100.0,0.16,25,85,53,0
82090,113.0,160.0,0.11,0.17,100.0,0.16,26,85,53,0
82100,113.0,160.0,0.11,0.17,100.0,0.16,26,85,53,0
82250,98.0,141.0,0.05,0.06,100.0,0.1,32,85,49,0
82260,98.0,141.0,0.05,0.06,100.0,0.1,32,85,52,0
82270,98.0,141.0,0.05,0.06,100.0,0.1,31,85,52,0
82340,8.0,87.0,0.02,0.02,100.0,0.19,25,85,52,0
82350,8.0,87.0,0.02,0.02,100.0,0.19,25,85,52,0
82370,96.0,159.0,1.99,2.13,50.0,0.39,25,84,52,0
82380,29.0,99.0,0.03,0.07,100.0,0.39,25,85,54,0
82390,29.0,99.0,0.03,0.07,100.0,0.39,27,85,54,0
82400,29.0,99.0,0.03,0.07,100.0,0.39,23,85,54,0
82410,29.0,99.0,0.03,0.07,100.0,0.39,25,85,54,0
82420,29.0,99.0,0.03,0.07,100.0,0.39,27,86,54,0
82450,111.0,136.0,0.63,0.85,50.0,0.79,30,86,54,0
82460,111.0,136.0,0.63,0.85,50.0,0.79,29,87,54,0
82470,117.0,199.0,0.64,0.85,50.0,0.79,31,87,54,0
82480,117.0,199.0,0.64,0.85,50.0,0.79,31,88,54,0
82490,117.0,199.0,0.64,0.85,50.0,0.79,31,88,54,0
82500,117.0,199.0,0.64,0.85,50.0,0.79,31,88,58,0
82510,117.0,199.0,0.64,0.85,50.0,0.79,35,88,58,0
82520,117.0,199.0,0.64,0.85,50.0,0.79,34,89,58,0
