time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
61300,110.0,388.0,0.12,0.13,100.0,0.42,28,85,55,0
61310,110.0,388.0,0.12,0.13,100.0,0.42,34,86,55,0
61320,110.0,388.0,0.12,0.13,100.0,0.42,32,86,57,0
61330,110.0,388.0,0.12,0.13,100.0,0.42,38,86,57,0
61340,110.0,388.0,0.12,0.13,100.0,0.42,39,86,57,0
61350,110.0,388.0,0.12,0.13,100.0,0.42,39,86,57,0
61360,110.0,388.0,0.12,0.13,100.0,0.42,37,86,57,0
61370,110.0,388.0,0.12,0.13,100.0,0.42,28,86,57,0
61380,110.0,388.0,0.12,0.13,100.0,0.42,23,86,71,0
61390,110.0,388.0,0.12,0.13,100.0,0.42,31,86,71,0
61400,110.0,388.0,0.12,0.13,100.0,0.42,33,86,71,0
61410,110.0,388.0,0.12,0.13,100.0,0.42,30,86,71,0
61420,110.0,388.0,0.12,0.13,100.0,0.42,26,86,71,0
61430,110.0,388.0,0.12,0.13,100.0,0.42,30,86,71,0
61440,110.0,388.0,0.12,0.13,100.0,0.42,31,86,57,0
61450,110.0,388.0,0.12,0.13,100.0,0.42,27,85,57,0
61460,110.0,388.0,0.12,0.13,100.0,0.42,28,85,57,0
61470,110.0,388.0,0.12,0.13,100.0,0.42,27,85,57,0
61480,110.0,388.0,0.12,0.13,100.0,0.42,27,85,57,0
61490,110.0,388.0,0.12,0.13,100.0,0.42,27,86,57,0
61500,110.0,388.0,0.12,0.13,100.0,0.42,25,86,61,0
61510,110.0,388.0,0.12,0.13,100.0,0.42,31,86,61,0
61520,110.0,388.0,0.12,0.13,100.0,0.42,28,86,61,0
61530,110.0,388.0,0.12,0.13,100.0,0.42,29,87,61,0
61540,110.0,388.0,0.12,0.13,100.0,0.42,35,86,61,0
61550,110.0,388.0,0.12,0.13,100.0,0.42,30,86,61,0
61560,110.0,388.0,0.12,0.13,100.0,0.42,31,86,63,0
61570,110.0,388.0,0.12,0.13,100.0,0.42,29,86,63,0
61580,110.0,388.0,0.12,0.13,100.0,0.42,26,85,63,0
61590,110.0,388.0,0.12,0.13,100.0,0.42,25,86,63,0
61600,110.0,388.0,0.12,0.13,100.0,0.42,27,86,63,0
61610,110.0,388.0,0.12,0.13,100.0,0.42,28,85,63,0
61620,110.0,388.0,0.12,0.13,100.0,0.42,27,85,60,0
61810,110.0,388.0,0.12,0.13,100.0,0.42,27,84,61,0
61820,110.0,388.0,0.12,0.13,100.0,0.42,23,84,61,0
61830,110.0,388.0,0.12,0.13,100.0,0.42,23,84,61,0
61850,110.0,388.0,0.12,0.13,100.0,0.42,22,84,61,0
61860,110.0,388.0,0.12,0.13,100.0,0.42,25,85,63,0
61870,110.0,388.0,0.12,0.13,100.0,0.42,25,85,63,0
61880,110.0,388.0,0.12,0.13,100.0,0.42,23,85,63,0
68290,32.0,75.0,0.03,0.03,100.0,0.3,15,85,61,0
68310,120.0,133.0,0.05,0.07,100.0,0.59,13,85,61,0
72600,57.0,79.0,0.03,0.03,100.0,0.3,24,86,63,0
72620,120.0,151.0,0.05,0.07,100.0,0.59,24,86,63,0
73080,58.0,77.0,0.03,0.03,100.0,0.3,29,85,62,0
73090,58.0,77.0,0.03,0.03,100.0,0.3,30,85,62,0
73110,118.0,150.0,0.05,0.07,100.0,0.59,27,85,62,0
75260,26.0,67.0,0.03,0.03,100.0,0.3,38,87,64,0
75270,26.0,67.0,0.03,0.03,100.0,0.3,35,87,64,0
75280,26.0,100.0,0.03,0.04,100.0,0.3,29,86,64,0
75290,26.0,63.0,0.04,0.04,100.0,0.3,29,87,64,0
75300,26.0,63.0,0.04,0.04,100.0,0.3,30,87,61,0
76980,99.0,119.0,0.3,0.44,50.0,0.49,33,82,60,0
76990,99.0,119.0,0.3,0.44,50.0,0.49,32,82,60,0
77000,99.0,119.0,0.3,0.44,50.0,0.49,29,83,60,0
77010,99.0,119.0,0.3,0.44,50.0,0.49,31,83,60,0
77020,99.0,119.0,0.3,0.44,50.0,0.49,27,83,60,0
77030,99.0,119.0,0.3,0.44,50.0,0.49,32,83,60,0
77660,50.0,79.0,0.03,0.03,100.0,0.3,24,82,60,0
77670,59.0,80.0,0.04,0.04,100.0,0.3,23,82,60,0
77830,213.0,981.0,0.09,0.15,100.0,0.59,21,81,67,0
77840,213.0,981.0,0.09,0.15,100.0,0.59,26,81,67,0
77850,213.0,981.0,0.09,0.15,100.0,0.59,24,81,67,0
